Created as New Dataset,Nylon (6) GF
cm-1,%T
2779.00,97.40
2778.00,97.43
2777.00,97.46
2776.00,97.49
2775.00,97.52
2774.00,97.55
2773.00,97.58
2772.00,97.61
2771.00,97.63
2770.00,97.66
2769.00,97.68
2768.00,97.70
2767.00,97.73
2766.00,97.75
2765.00,97.77
2764.00,97.79
2763.00,97.81
2762.00,97.82
2761.00,97.83
2760.00,97.85
2759.00,97.86
2758.00,97.87
2757.00,97.88
2756.00,97.89
2755.00,97.90
2754.00,97.91
2753.00,97.92
2752.00,97.92
2751.00,97.92
2750.00,97.93
2749.00,97.93
2748.00,97.94
2747.00,97.95
2746.00,97.96
2745.00,97.96
2744.00,97.97
2743.00,97.98
2742.00,97.99
2741.00,98.00
2740.00,98.01
2739.00,98.02
2738.00,98.04
2737.00,98.05
2736.00,98.07
2735.00,98.08
2734.00,98.10
2733.00,98.12
2732.00,98.13
2731.00,98.15
2730.00,98.17
2729.00,98.19
2728.00,98.21
2727.00,98.22
2726.00,98.24
2725.00,98.26
2724.00,98.28
2723.00,98.29
2722.00,98.31
2721.00,98.33
2720.00,98.35
2719.00,98.36
2718.00,98.38
2717.00,98.39
2716.00,98.41
2715.00,98.42
2714.00,98.44
2713.00,98.45
2712.00,98.46
2711.00,98.47
2710.00,98.48
2709.00,98.49
2708.00,98.49
2707.00,98.50
2706.00,98.51
2705.00,98.51
2704.00,98.51
2703.00,98.52
2702.00,98.52
2701.00,98.53
2700.00,98.54
2699.00,98.55
2698.00,98.56
2697.00,98.57
2696.00,98.57
2695.00,98.58
2694.00,98.59
2693.00,98.59
2692.00,98.60
2691.00,98.61
2690.00,98.61
2689.00,98.62
2688.00,98.62
2687.00,98.63
2686.00,98.64
2685.00,98.64
2684.00,98.65
2683.00,98.66
2682.00,98.66
2681.00,98.67
2680.00,98.67
2679.00,98.68
2678.00,98.68
2677.00,98.69
2676.00,98.69
2675.00,98.70
2674.00,98.70
2673.00,98.71
2672.00,98.71
2671.00,98.72
2670.00,98.72
2669.00,98.73
2668.00,98.73
2667.00,98.73
2666.00,98.73
2665.00,98.73
2664.00,98.72
2663.00,98.72
2662.00,98.71
2661.00,98.71
2660.00,98.70
2659.00,98.70
2658.00,98.70
2657.00,98.70
2656.00,98.70
2655.00,98.70
2654.00,98.70
2653.00,98.70
2652.00,98.70
2651.00,98.71
2650.00,98.71
2649.00,98.71
2648.00,98.72
2647.00,98.72
2646.00,98.72
2645.00,98.73
2644.00,98.73
2643.00,98.74
2642.00,98.74
2641.00,98.74
2640.00,98.74
2639.00,98.75
2638.00,98.75
2637.00,98.75
2636.00,98.75
2635.00,98.76
2634.00,98.76
2633.00,98.76
2632.00,98.77
2631.00,98.77
2630.00,98.77
2629.00,98.78
2628.00,98.78
2627.00,98.79
2626.00,98.79
2625.00,98.80
2624.00,98.80
2623.00,98.81
2622.00,98.81
2621.00,98.81
2620.00,98.82
2619.00,98.82
2618.00,98.83
2617.00,98.83
2616.00,98.84
2615.00,98.85
2614.00,98.86
2613.00,98.86
2612.00,98.87
2611.00,98.87
2610.00,98.88
2609.00,98.88
2608.00,98.89
2607.00,98.90
2606.00,98.91
2605.00,98.91
2604.00,98.91
2603.00,98.92
2602.00,98.92
2601.00,98.92
2600.00,98.93
2599.00,98.93
2598.00,98.94
2597.00,98.95
2596.00,98.95
2595.00,98.95
2594.00,98.95
2593.00,98.95
2592.00,98.95
2591.00,98.96
2590.00,98.96
2589.00,98.96
2588.00,98.96
2587.00,98.97
2586.00,98.97
2585.00,98.97
2584.00,98.97
2583.00,98.97
2582.00,98.97
2581.00,98.97
2580.00,98.98
2579.00,98.98
2578.00,98.99
2577.00,98.99
2576.00,99.00
2575.00,99.00
2574.00,99.00
2573.00,99.00
2572.00,99.01
2571.00,99.01
2570.00,99.02
2569.00,99.02
2568.00,99.02
2567.00,99.02
2566.00,99.02
2565.00,99.02
2564.00,99.02
2563.00,99.02
2562.00,99.03
2561.00,99.03
2560.00,99.03
2559.00,99.03
2558.00,99.03
2557.00,99.03
2556.00,99.03
2555.00,99.03
2554.00,99.03
2553.00,99.03
2552.00,99.03
2551.00,99.04
2550.00,99.04
2549.00,99.04
2548.00,99.05
2547.00,99.06
2546.00,99.06
2545.00,99.06
2544.00,99.07
2543.00,99.08
2542.00,99.08
2541.00,99.08
2540.00,99.09
2539.00,99.09
2538.00,99.10
2537.00,99.11
2536.00,99.11
2535.00,99.12
2534.00,99.12
2533.00,99.13
2532.00,99.13
2531.00,99.14
2530.00,99.15
2529.00,99.15
2528.00,99.16
2527.00,99.17
2526.00,99.17
2525.00,99.18
2524.00,99.19
2523.00,99.20
2522.00,99.20
2521.00,99.20
2520.00,99.20
2519.00,99.21
2518.00,99.22
2517.00,99.22
2516.00,99.22
2515.00,99.22
2514.00,99.23
2513.00,99.23
2512.00,99.24
2511.00,99.25
2510.00,99.25
2509.00,99.25
2508.00,99.25
2507.00,99.25
2506.00,99.26
2505.00,99.26
2504.00,99.27
2503.00,99.27
2502.00,99.27
2501.00,99.27
2500.00,99.27
2499.00,99.28
2498.00,99.28
2497.00,99.27
2496.00,99.27
2495.00,99.27
2494.00,99.27
2493.00,99.27
2492.00,99.27
2491.00,99.27
2490.00,99.27
2489.00,99.27
2488.00,99.27
2487.00,99.28
2486.00,99.28
2485.00,99.27
2484.00,99.27
2483.00,99.27
2482.00,99.27
2481.00,99.27
2480.00,99.27
2479.00,99.27
2478.00,99.27
2477.00,99.26
2476.00,99.26
2475.00,99.27
2474.00,99.27
2473.00,99.28
2472.00,99.28
2471.00,99.28
2470.00,99.28
2469.00,99.28
2468.00,99.28
2467.00,99.28
2466.00,99.29
2465.00,99.29
2464.00,99.29
