Created as New Dataset,PK (polyketone) GF
cm-1,%T
2888.00,95.92
2887.00,96.07
2886.00,96.20
2885.00,96.33
2884.00,96.44
2883.00,96.54
2882.00,96.63
2881.00,96.72
2880.00,96.81
2879.00,96.90
2878.00,96.98
2877.00,97.06
2876.00,97.13
2875.00,97.21
2874.00,97.28
2873.00,97.34
2872.00,97.40
2871.00,97.46
2870.00,97.52
2869.00,97.57
2868.00,97.62
2867.00,97.66
2866.00,97.70
2865.00,97.73
2864.00,97.76
2863.00,97.78
2862.00,97.80
2861.00,97.82
2860.00,97.82
2859.00,97.82
2858.00,97.82
2857.00,97.81
2856.00,97.80
2855.00,97.79
2854.00,97.78
2853.00,97.78
2852.00,97.79
2851.00,97.81
2850.00,97.84
2849.00,97.89
2848.00,97.94
2847.00,97.99
2846.00,98.04
2845.00,98.08
2844.00,98.12
2843.00,98.15
2842.00,98.18
2841.00,98.21
2840.00,98.23
2839.00,98.24
2838.00,98.26
2837.00,98.27
2836.00,98.28
2835.00,98.29
2834.00,98.30
2833.00,98.31
2832.00,98.32
2831.00,98.32
2830.00,98.33
2829.00,98.33
2828.00,98.34
2827.00,98.34
2826.00,98.35
2825.00,98.35
2824.00,98.36
2823.00,98.36
2822.00,98.37
2821.00,98.37
2820.00,98.38
2819.00,98.39
2818.00,98.40
2817.00,98.41
2816.00,98.41
2815.00,98.42
2814.00,98.44
2813.00,98.45
2812.00,98.46
2811.00,98.48
2810.00,98.49
2809.00,98.51
2808.00,98.52
2807.00,98.54
2806.00,98.55
2805.00,98.56
2804.00,98.57
2803.00,98.58
2802.00,98.59
2801.00,98.60
2800.00,98.61
2799.00,98.62
2798.00,98.63
2797.00,98.64
2796.00,98.64
2795.00,98.65
2794.00,98.65
2793.00,98.66
2792.00,98.67
2791.00,98.67
2790.00,98.67
2789.00,98.68
2788.00,98.68
2787.00,98.68
2786.00,98.69
2785.00,98.69
2784.00,98.70
2783.00,98.71
2782.00,98.72
2781.00,98.73
2780.00,98.74
2779.00,98.75
2778.00,98.76
2777.00,98.78
2776.00,98.79
2775.00,98.80
2774.00,98.82
2773.00,98.83
2772.00,98.84
2771.00,98.85
2770.00,98.86
2769.00,98.88
2768.00,98.89
2767.00,98.90
2766.00,98.91
2765.00,98.92
2764.00,98.93
2763.00,98.94
2762.00,98.94
2761.00,98.95
2760.00,98.96
2759.00,98.97
2758.00,98.97
2757.00,98.98
2756.00,98.99
2755.00,98.99
2754.00,99.00
2753.00,99.00
2752.00,99.00
2751.00,99.01
2750.00,99.01
2749.00,99.02
2748.00,99.02
2747.00,99.02
2746.00,99.03
2745.00,99.03
2744.00,99.03
2743.00,99.03
2742.00,99.04
2741.00,99.04
2740.00,99.04
2739.00,99.04
2738.00,99.04
2737.00,99.05
2736.00,99.05
2735.00,99.06
2734.00,99.06
2733.00,99.06
2732.00,99.07
2731.00,99.07
2730.00,99.07
2729.00,99.08
2728.00,99.08
2727.00,99.08
2726.00,99.09
2725.00,99.09
2724.00,99.08
2723.00,99.09
2722.00,99.09
2721.00,99.09
2720.00,99.09
2719.00,99.10
2718.00,99.10
2717.00,99.10
2716.00,99.10
2715.00,99.10
2714.00,99.11
2713.00,99.11
2712.00,99.11
2711.00,99.11
2710.00,99.11
2709.00,99.11
2708.00,99.11
2707.00,99.12
2706.00,99.12
2705.00,99.12
2704.00,99.12
2703.00,99.12
2702.00,99.13
2701.00,99.13
2700.00,99.13
2699.00,99.13
2698.00,99.14
2697.00,99.14
2696.00,99.14
2695.00,99.14
2694.00,99.14
