Created as New Dataset,PE (high density) granule 5mm GF
cm-1,%T
3357.00,99.25
3356.00,99.24
3355.00,99.24
3354.00,99.24
3353.00,99.24
3352.00,99.24
3351.00,99.25
3350.00,99.25
3349.00,99.24
3348.00,99.24
3347.00,99.24
3346.00,99.24
3345.00,99.24
3344.00,99.24
3343.00,99.24
3342.00,99.24
3341.00,99.24
3340.00,99.25
3339.00,99.25
3338.00,99.25
3337.00,99.25
3336.00,99.25
3335.00,99.24
3334.00,99.24
3333.00,99.24
3332.00,99.24
3331.00,99.25
3330.00,99.25
3329.00,99.25
3328.00,99.25
3327.00,99.25
3326.00,99.25
3325.00,99.24
3324.00,99.25
3323.00,99.25
3322.00,99.25
3321.00,99.25
3320.00,99.25
3319.00,99.25
3318.00,99.25
3317.00,99.26
3316.00,99.26
3315.00,99.26
3314.00,99.26
3313.00,99.26
3312.00,99.26
3311.00,99.26
3310.00,99.26
3309.00,99.25
3308.00,99.25
3307.00,99.25
3306.00,99.25
3305.00,99.25
3304.00,99.25
3303.00,99.26
3302.00,99.26
3301.00,99.26
3300.00,99.26
3299.00,99.25
3298.00,99.25
3297.00,99.25
3296.00,99.25
3295.00,99.25
3294.00,99.25
3293.00,99.25
3292.00,99.25
3291.00,99.25
3290.00,99.25
3289.00,99.25
3288.00,99.25
3287.00,99.25
3286.00,99.25
3285.00,99.25
3284.00,99.25
3283.00,99.25
3282.00,99.25
3281.00,99.25
3280.00,99.25
3279.00,99.25
3278.00,99.25
3277.00,99.26
3276.00,99.26
3275.00,99.26
3274.00,99.26
3273.00,99.26
3272.00,99.26
3271.00,99.26
3270.00,99.26
3269.00,99.26
3268.00,99.26
3267.00,99.26
3266.00,99.26
3265.00,99.26
3264.00,99.26
3263.00,99.26
3262.00,99.26
3261.00,99.26
3260.00,99.26
3259.00,99.26
3258.00,99.26
3257.00,99.26
3256.00,99.27
3255.00,99.27
3254.00,99.27
3253.00,99.27
3252.00,99.27
3251.00,99.26
3250.00,99.26
3249.00,99.26
3248.00,99.26
3247.00,99.26
3246.00,99.26
3245.00,99.26
3244.00,99.26
3243.00,99.27
3242.00,99.27
3241.00,99.27
3240.00,99.27
3239.00,99.27
3238.00,99.26
3237.00,99.26
3236.00,99.26
3235.00,99.27
3234.00,99.27
3233.00,99.27
3232.00,99.27
3231.00,99.26
3230.00,99.26
3229.00,99.26
3228.00,99.26
3227.00,99.27
3226.00,99.27
3225.00,99.27
3224.00,99.27
3223.00,99.27
3222.00,99.27
3221.00,99.27
3220.00,99.27
3219.00,99.27
3218.00,99.27
3217.00,99.27
3216.00,99.27
3215.00,99.27
3214.00,99.27
3213.00,99.28
3212.00,99.28
3211.00,99.28
3210.00,99.28
3209.00,99.27
3208.00,99.27
3207.00,99.27
3206.00,99.27
3205.00,99.27
3204.00,99.27
3203.00,99.27
3202.00,99.28
3201.00,99.28
3200.00,99.28
3199.00,99.28
3198.00,99.28
3197.00,99.28
3196.00,99.27
3195.00,99.27
3194.00,99.27
3193.00,99.28
3192.00,99.28
3191.00,99.28
3190.00,99.28
3189.00,99.28
3188.00,99.27
3187.00,99.28
3186.00,99.28
3185.00,99.28
3184.00,99.28
3183.00,99.28
3182.00,99.28
3181.00,99.28
3180.00,99.28
3179.00,99.28
3178.00,99.28
3177.00,99.28
3176.00,99.28
3175.00,99.28
3174.00,99.28
3173.00,99.28
3172.00,99.28
3171.00,99.28
3170.00,99.28
3169.00,99.28
3168.00,99.28
3167.00,99.28
3166.00,99.28
3165.00,99.28
3164.00,99.28
