Created as New Dataset,PS 280kDa Sigma
cm-1,%T
2876.00,94.41
2875.00,94.45
2874.00,94.49
2873.00,94.53
2872.00,94.55
2871.00,94.58
2870.00,94.59
2869.00,94.61
2868.00,94.61
2867.00,94.61
2866.00,94.60
2865.00,94.58
2864.00,94.55
2863.00,94.51
2862.00,94.45
2861.00,94.39
2860.00,94.32
2859.00,94.24
2858.00,94.16
2857.00,94.07
2856.00,93.97
2855.00,93.88
2854.00,93.79
2853.00,93.71
2852.00,93.64
2851.00,93.58
2850.00,93.54
2849.00,93.52
2848.00,93.52
2847.00,93.54
2846.00,93.59
2845.00,93.66
2844.00,93.75
2843.00,93.86
2842.00,93.99
2841.00,94.12
2840.00,94.27
2839.00,94.41
2838.00,94.55
2837.00,94.69
2836.00,94.81
2835.00,94.91
2834.00,95.01
2833.00,95.09
2832.00,95.16
2831.00,95.22
2830.00,95.27
2829.00,95.31
2828.00,95.35
2827.00,95.38
2826.00,95.40
2825.00,95.43
2824.00,95.45
2823.00,95.47
2822.00,95.48
2821.00,95.50
2820.00,95.51
2819.00,95.52
2818.00,95.53
2817.00,95.54
2816.00,95.55
2815.00,95.56
2814.00,95.57
2813.00,95.58
2812.00,95.59
2811.00,95.59
2810.00,95.60
2809.00,95.60
2808.00,95.61
2807.00,95.61
2806.00,95.62
2805.00,95.63
2804.00,95.63
2803.00,95.64
2802.00,95.65
2801.00,95.66
2800.00,95.67
2799.00,95.68
2798.00,95.69
2797.00,95.70
2796.00,95.70
2795.00,95.71
2794.00,95.71
2793.00,95.72
2792.00,95.72
2791.00,95.72
2790.00,95.73
2789.00,95.73
2788.00,95.74
2787.00,95.74
2786.00,95.74
2785.00,95.74
2784.00,95.74
2783.00,95.74
2782.00,95.75
2781.00,95.75
2780.00,95.76
2779.00,95.76
2778.00,95.76
2777.00,95.77
2776.00,95.77
2775.00,95.77
2774.00,95.78
2773.00,95.78
2772.00,95.79
2771.00,95.79
2770.00,95.79
2769.00,95.80
2768.00,95.80
2767.00,95.81
2766.00,95.81
2765.00,95.82
2764.00,95.82
2763.00,95.83
2762.00,95.83
2761.00,95.83
2760.00,95.83
2759.00,95.83
2758.00,95.83
2757.00,95.84
2756.00,95.84
2755.00,95.84
2754.00,95.85
2753.00,95.85
2752.00,95.85
2751.00,95.85
2750.00,95.85
2749.00,95.85
2748.00,95.85
2747.00,95.85
2746.00,95.85
2745.00,95.85
2744.00,95.85
2743.00,95.85
2742.00,95.85
2741.00,95.85
2740.00,95.86
2739.00,95.86
2738.00,95.86
2737.00,95.85
2736.00,95.85
2735.00,95.86
2734.00,95.86
2733.00,95.86
2732.00,95.86
2731.00,95.86
2730.00,95.86
2729.00,95.86
2728.00,95.86
2727.00,95.86
2726.00,95.85
2725.00,95.85
2724.00,95.85
2723.00,95.85
2722.00,95.85
2721.00,95.85
2720.00,95.85
2719.00,95.86
2718.00,95.86
2717.00,95.86
2716.00,95.86
2715.00,95.86
2714.00,95.86
2713.00,95.86
2712.00,95.86
2711.00,95.86
2710.00,95.86
2709.00,95.86
2708.00,95.86
2707.00,95.86
2706.00,95.86
2705.00,95.86
2704.00,95.86
2703.00,95.86
2702.00,95.86
2701.00,95.86
2700.00,95.86
2699.00,95.86
2698.00,95.86
2697.00,95.86
2696.00,95.86
2695.00,95.86
2694.00,95.87
2693.00,95.87
2692.00,95.87
2691.00,95.87
2690.00,95.87
2689.00,95.87
2688.00,95.87
2687.00,95.87
2686.00,95.87
2685.00,95.87
2684.00,95.87
2683.00,95.87
2682.00,95.87
2681.00,95.87
2680.00,95.87
2679.00,95.87
2678.00,95.86
2677.00,95.86
2676.00,95.86
2675.00,95.86
2674.00,95.86
2673.00,95.86
2672.00,95.87
2671.00,95.87
2670.00,95.87
2669.00,95.87
2668.00,95.87
2667.00,95.86
2666.00,95.86
2665.00,95.85
2664.00,95.85
2663.00,95.84
2662.00,95.83
2661.00,95.83
2660.00,95.82
2659.00,95.81
2658.00,95.80
2657.00,95.79
2656.00,95.79
2655.00,95.78
2654.00,95.78
2653.00,95.77
2652.00,95.77
2651.00,95.76
2650.00,95.76
2649.00,95.75
2648.00,95.75
2647.00,95.74
2646.00,95.74
2645.00,95.74
2644.00,95.73
2643.00,95.73
2642.00,95.73
2641.00,95.73
2640.00,95.73
2639.00,95.72
2638.00,95.72
2637.00,95.71
2636.00,95.70
2635.00,95.70
2634.00,95.69
2633.00,95.69
2632.00,95.69
2631.00,95.69
2630.00,95.69
2629.00,95.69
2628.00,95.69
2627.00,95.69
2626.00,95.69
2625.00,95.69
2624.00,95.70
2623.00,95.70
2622.00,95.70
2621.00,95.70
2620.00,95.69
2619.00,95.69
2618.00,95.69
2617.00,95.69
2616.00,95.69
2615.00,95.69
2614.00,95.69
2613.00,95.69
2612.00,95.69
2611.00,95.68
2610.00,95.68
2609.00,95.67
2608.00,95.66
2607.00,95.66
2606.00,95.65
2605.00,95.65
2604.00,95.65
2603.00,95.65
2602.00,95.65
2601.00,95.65
2600.00,95.66
2599.00,95.66
2598.00,95.67
