Created as New Dataset,PP 12kDa Sigma
cm-1,%T
2617.00,98.24
2616.00,98.24
2615.00,98.24
2614.00,98.25
2613.00,98.25
2612.00,98.26
2611.00,98.27
2610.00,98.28
2609.00,98.29
2608.00,98.31
2607.00,98.32
2606.00,98.34
2605.00,98.35
2604.00,98.36
2603.00,98.36
2602.00,98.37
2601.00,98.37
2600.00,98.37
2599.00,98.38
2598.00,98.38
2597.00,98.38
2596.00,98.38
2595.00,98.37
2594.00,98.36
2593.00,98.35
2592.00,98.34
2591.00,98.33
2590.00,98.32
2589.00,98.30
2588.00,98.28
2587.00,98.26
2586.00,98.24
2585.00,98.23
2584.00,98.22
2583.00,98.22
2582.00,98.22
2581.00,98.22
2580.00,98.23
2579.00,98.24
2578.00,98.26
2577.00,98.28
2576.00,98.30
2575.00,98.32
2574.00,98.34
2573.00,98.36
2572.00,98.37
2571.00,98.39
2570.00,98.40
2569.00,98.42
2568.00,98.43
2567.00,98.44
2566.00,98.45
2565.00,98.46
2564.00,98.47
2563.00,98.47
2562.00,98.47
2561.00,98.48
2560.00,98.48
2559.00,98.49
2558.00,98.49
2557.00,98.50
2556.00,98.51
2555.00,98.52
2554.00,98.53
2553.00,98.53
2552.00,98.54
2551.00,98.55
2550.00,98.56
2549.00,98.56
2548.00,98.57
2547.00,98.58
2546.00,98.59
2545.00,98.60
2544.00,98.60
2543.00,98.61
2542.00,98.61
2541.00,98.61
2540.00,98.61
2539.00,98.62
2538.00,98.62
2537.00,98.63
2536.00,98.64
2535.00,98.64
2534.00,98.64
2533.00,98.64
2532.00,98.64
2531.00,98.65
2530.00,98.65
2529.00,98.65
2528.00,98.66
2527.00,98.67
2526.00,98.68
2525.00,98.68
2524.00,98.69
2523.00,98.69
2522.00,98.70
2521.00,98.70
2520.00,98.71
2519.00,98.71
2518.00,98.72
2517.00,98.72
2516.00,98.72
2515.00,98.73
2514.00,98.73
2513.00,98.73
2512.00,98.73
2511.00,98.73
2510.00,98.73
2509.00,98.74
2508.00,98.74
2507.00,98.75
2506.00,98.75
2505.00,98.75
2504.00,98.75
2503.00,98.75
2502.00,98.75
2501.00,98.75
2500.00,98.75
