Created as New Dataset,PP film GF
cm-1,%T
3117.00,99.61
3116.00,99.61
3115.00,99.62
3114.00,99.62
3113.00,99.62
3112.00,99.62
3111.00,99.62
3110.00,99.62
3109.00,99.62
3108.00,99.62
3107.00,99.62
3106.00,99.62
3105.00,99.62
3104.00,99.62
3103.00,99.62
3102.00,99.63
3101.00,99.63
3100.00,99.63
3099.00,99.63
3098.00,99.62
3097.00,99.62
3096.00,99.62
3095.00,99.62
3094.00,99.62
3093.00,99.62
3092.00,99.62
3091.00,99.62
3090.00,99.62
3089.00,99.62
3088.00,99.62
3087.00,99.61
3086.00,99.61
3085.00,99.62
3084.00,99.62
3083.00,99.62
3082.00,99.62
3081.00,99.62
3080.00,99.62
3079.00,99.62
3078.00,99.62
3077.00,99.62
3076.00,99.62
3075.00,99.62
3074.00,99.62
3073.00,99.62
3072.00,99.62
3071.00,99.61
3070.00,99.61
3069.00,99.61
3068.00,99.60
3067.00,99.60
3066.00,99.60
3065.00,99.59
3064.00,99.59
3063.00,99.59
3062.00,99.58
3061.00,99.58
3060.00,99.58
3059.00,99.57
3058.00,99.56
3057.00,99.56
3056.00,99.56
3055.00,99.55
3054.00,99.55
3053.00,99.55
3052.00,99.54
3051.00,99.54
3050.00,99.54
3049.00,99.53
3048.00,99.53
3047.00,99.53
3046.00,99.53
3045.00,99.53
3044.00,99.52
3043.00,99.52
3042.00,99.52
3041.00,99.52
3040.00,99.51
3039.00,99.51
3038.00,99.51
3037.00,99.51
3036.00,99.51
3035.00,99.50
3034.00,99.50
3033.00,99.49
3032.00,99.48
3031.00,99.47
3030.00,99.47
3029.00,99.46
3028.00,99.45
3027.00,99.44
3026.00,99.43
3025.00,99.42
3024.00,99.41
3023.00,99.39
3022.00,99.38
3021.00,99.36
3020.00,99.34
3019.00,99.32
3018.00,99.31
3017.00,99.29
3016.00,99.27
3015.00,99.25
3014.00,99.24
3013.00,99.21
3012.00,99.19
3011.00,99.17
3010.00,99.15
3009.00,99.12
3008.00,99.10
3007.00,99.07
3006.00,99.04
3005.00,99.01
3004.00,98.98
3003.00,98.95
3002.00,98.92
3001.00,98.88
3000.00,98.85
2999.00,98.80
2998.00,98.75
2997.00,98.69
2996.00,98.63
2995.00,98.57
2994.00,98.50
2993.00,98.42
2992.00,98.34
2991.00,98.24
2990.00,98.14
2989.00,98.02
2988.00,97.90
2987.00,97.76
2986.00,97.60
2985.00,97.43
2984.00,97.23
2983.00,97.01
2982.00,96.76
2981.00,96.48
2980.00,96.16
2979.00,95.80
2978.00,95.38
2977.00,94.92
2976.00,94.38
2975.00,93.76
2974.00,93.06
2973.00,92.25
2972.00,91.34
2971.00,90.31
2970.00,89.17
2969.00,87.92
2968.00,86.57
2967.00,85.12
2966.00,83.61
2965.00,82.07
2964.00,80.60
2963.00,79.31
2962.00,78.31
2961.00,77.68
2960.00,77.38
2959.00,77.29
2958.00,77.18
2957.00,76.83
