Created as New Dataset,PE pellet 124kDa Alfa Aesar
cm-1,%T
2529.00,99.49
2528.00,99.49
2527.00,99.49
2526.00,99.50
2525.00,99.51
2524.00,99.51
2523.00,99.52
2522.00,99.53
2521.00,99.53
2520.00,99.54
2519.00,99.55
2518.00,99.56
2517.00,99.57
2516.00,99.57
2515.00,99.58
2514.00,99.58
2513.00,99.58
2512.00,99.58
2511.00,99.58
2510.00,99.57
2509.00,99.57
2508.00,99.58
2507.00,99.58
2506.00,99.59
2505.00,99.60
2504.00,99.60
2503.00,99.61
2502.00,99.61
2501.00,99.61
2500.00,99.61
2499.00,99.60
2498.00,99.60
2497.00,99.60
2496.00,99.61
2495.00,99.61
2494.00,99.61
2493.00,99.61
2492.00,99.60
2491.00,99.60
2490.00,99.60
2489.00,99.60
2488.00,99.61
2487.00,99.62
2486.00,99.62
2485.00,99.61
2484.00,99.61
2483.00,99.61
2482.00,99.61
2481.00,99.61
2480.00,99.61
2479.00,99.61
2478.00,99.62
2477.00,99.62
2476.00,99.61
2475.00,99.60
2474.00,99.60
2473.00,99.60
2472.00,99.61
2471.00,99.62
2470.00,99.64
