Created as New Dataset,PVC powder GF
cm-1,%T
2597.00,96.63
2596.00,96.63
2595.00,96.63
2594.00,96.63
2593.00,96.63
2592.00,96.63
2591.00,96.63
2590.00,96.63
2589.00,96.63
2588.00,96.63
2587.00,96.63
2586.00,96.63
2585.00,96.63
2584.00,96.63
2583.00,96.63
2582.00,96.63
2581.00,96.63
2580.00,96.62
2579.00,96.62
2578.00,96.63
2577.00,96.62
2576.00,96.62
2575.00,96.62
2574.00,96.61
2573.00,96.61
2572.00,96.61
2571.00,96.62
2570.00,96.62
2569.00,96.62
2568.00,96.62
2567.00,96.62
2566.00,96.62
2565.00,96.62
2564.00,96.62
2563.00,96.62
2562.00,96.62
2561.00,96.62
2560.00,96.62
2559.00,96.61
2558.00,96.61
2557.00,96.61
2556.00,96.61
2555.00,96.60
2554.00,96.60
2553.00,96.60
2552.00,96.60
2551.00,96.60
2550.00,96.60
2549.00,96.61
2548.00,96.61
2547.00,96.62
2546.00,96.62
2545.00,96.62
2544.00,96.62
2543.00,96.62
2542.00,96.62
2541.00,96.62
2540.00,96.62
2539.00,96.62
2538.00,96.62
2537.00,96.62
2536.00,96.62
2535.00,96.62
2534.00,96.62
2533.00,96.62
2532.00,96.62
2531.00,96.62
2530.00,96.62
2529.00,96.63
2528.00,96.63
2527.00,96.63
2526.00,96.63
2525.00,96.63
2524.00,96.63
2523.00,96.63
2522.00,96.63
2521.00,96.64
2520.00,96.64
2519.00,96.64
2518.00,96.65
2517.00,96.65
2516.00,96.65
2515.00,96.65
2514.00,96.65
2513.00,96.64
2512.00,96.64
2511.00,96.64
2510.00,96.64
2509.00,96.64
2508.00,96.64
2507.00,96.64
2506.00,96.64
2505.00,96.64
2504.00,96.64
2503.00,96.64
2502.00,96.64
2501.00,96.65
2500.00,96.65
2499.00,96.64
2498.00,96.64
2497.00,96.64
2496.00,96.64
2495.00,96.64
2494.00,96.64
2493.00,96.65
2492.00,96.65
2491.00,96.65
2490.00,96.65
2489.00,96.65
2488.00,96.65
2487.00,96.65
2486.00,96.65
2485.00,96.65
2484.00,96.65
2483.00,96.65
2482.00,96.65
2481.00,96.65
2480.00,96.65
2479.00,96.65
2478.00,96.65
2477.00,96.64
2476.00,96.64
2475.00,96.64
2474.00,96.65
2473.00,96.65
2472.00,96.65
2471.00,96.65
2470.00,96.65
2469.00,96.65
2468.00,96.65
2467.00,96.65
2466.00,96.65
2465.00,96.64
2464.00,96.64
2463.00,96.63
