Created as New Dataset,PAN 230kDa GF
cm-1,%T
3087.00,98.92
3086.00,98.92
3085.00,98.92
3084.00,98.91
3083.00,98.91
3082.00,98.90
3081.00,98.90
3080.00,98.89
3079.00,98.89
3078.00,98.89
3077.00,98.90
3076.00,98.90
3075.00,98.90
3074.00,98.90
3073.00,98.89
3072.00,98.89
3071.00,98.88
3070.00,98.88
3069.00,98.88
3068.00,98.87
3067.00,98.87
3066.00,98.87
3065.00,98.86
3064.00,98.86
3063.00,98.86
3062.00,98.85
3061.00,98.85
3060.00,98.85
3059.00,98.84
3058.00,98.84
3057.00,98.84
3056.00,98.84
3055.00,98.84
3054.00,98.83
3053.00,98.83
3052.00,98.83
3051.00,98.83
3050.00,98.83
3049.00,98.83
3048.00,98.82
3047.00,98.82
3046.00,98.81
3045.00,98.81
3044.00,98.81
3043.00,98.81
3042.00,98.81
3041.00,98.80
3040.00,98.80
3039.00,98.79
3038.00,98.79
3037.00,98.79
3036.00,98.79
3035.00,98.79
3034.00,98.79
3033.00,98.78
3032.00,98.78
3031.00,98.77
3030.00,98.77
3029.00,98.77
3028.00,98.77
3027.00,98.77
3026.00,98.76
3025.00,98.76
3024.00,98.75
3023.00,98.74
3022.00,98.74
3021.00,98.73
3020.00,98.72
3019.00,98.72
3018.00,98.71
3017.00,98.70
3016.00,98.70
3015.00,98.69
3014.00,98.68
3013.00,98.67
3012.00,98.66
3011.00,98.65
3010.00,98.64
3009.00,98.63
3008.00,98.62
3007.00,98.61
3006.00,98.59
3005.00,98.58
3004.00,98.57
3003.00,98.55
3002.00,98.53
3001.00,98.51
3000.00,98.49
2999.00,98.47
2998.00,98.46
2997.00,98.44
2996.00,98.43
2995.00,98.41
2994.00,98.40
2993.00,98.38
2992.00,98.36
2991.00,98.35
2990.00,98.34
2989.00,98.33
2988.00,98.32
2987.00,98.31
2986.00,98.30
2985.00,98.29
2984.00,98.28
2983.00,98.27
2982.00,98.27
2981.00,98.26
2980.00,98.26
2979.00,98.25
2978.00,98.24
2977.00,98.23
2976.00,98.23
2975.00,98.22
2974.00,98.22
2973.00,98.21
2972.00,98.21
2971.00,98.20
2970.00,98.19
2969.00,98.18
2968.00,98.18
2967.00,98.17
2966.00,98.16
2965.00,98.15
2964.00,98.14
2963.00,98.12
2962.00,98.10
2961.00,98.07
2960.00,98.04
2959.00,98.00
2958.00,97.96
2957.00,97.91
2956.00,97.85
2955.00,97.79
2954.00,97.71
2953.00,97.63
2952.00,97.55
2951.00,97.46
2950.00,97.37
2949.00,97.29
2948.00,97.20
2947.00,97.13
2946.00,97.05
2945.00,96.99
2944.00,96.94
2943.00,96.89
2942.00,96.86
2941.00,96.84
2940.00,96.83
2939.00,96.83
2938.00,96.84
2937.00,96.86
2936.00,96.88
2935.00,96.91
2934.00,96.94
2933.00,96.97
2932.00,97.00
2931.00,97.02
2930.00,97.04
2929.00,97.05
2928.00,97.06
2927.00,97.07
2926.00,97.08
2925.00,97.09
2924.00,97.11
2923.00,97.12
2922.00,97.14
2921.00,97.17
2920.00,97.21
2919.00,97.26
2918.00,97.31
2917.00,97.36
2916.00,97.42
2915.00,97.48
2914.00,97.54
2913.00,97.61
2912.00,97.67
2911.00,97.73
2910.00,97.79
2909.00,97.84
2908.00,97.90
2907.00,97.95
2906.00,98.00
2905.00,98.05
2904.00,98.09
2903.00,98.12
2902.00,98.16
2901.00,98.19
2900.00,98.22
2899.00,98.24
