Created as New Dataset,Acrylic Red
cm-1,%T
2825.00,98.30
2824.00,98.32
2823.00,98.34
2822.00,98.35
2821.00,98.36
2820.00,98.37
2819.00,98.39
2818.00,98.40
2817.00,98.41
2816.00,98.42
2815.00,98.42
2814.00,98.43
2813.00,98.44
2812.00,98.45
2811.00,98.45
2810.00,98.46
2809.00,98.47
2808.00,98.47
2807.00,98.48
2806.00,98.48
2805.00,98.48
2804.00,98.49
2803.00,98.49
2802.00,98.49
2801.00,98.49
2800.00,98.50
2799.00,98.50
2798.00,98.51
2797.00,98.51
2796.00,98.51
2795.00,98.52
2794.00,98.52
2793.00,98.52
2792.00,98.52
2791.00,98.52
2790.00,98.52
2789.00,98.52
2788.00,98.52
2787.00,98.52
2786.00,98.53
2785.00,98.53
2784.00,98.52
2783.00,98.52
2782.00,98.52
2781.00,98.52
2780.00,98.52
2779.00,98.53
2778.00,98.53
2777.00,98.53
2776.00,98.53
2775.00,98.53
2774.00,98.53
2773.00,98.53
2772.00,98.54
2771.00,98.54
2770.00,98.54
2769.00,98.54
2768.00,98.55
2767.00,98.55
2766.00,98.55
2765.00,98.55
2764.00,98.55
2763.00,98.55
2762.00,98.55
2761.00,98.55
2760.00,98.55
2759.00,98.55
2758.00,98.55
2757.00,98.56
2756.00,98.56
2755.00,98.56
2754.00,98.56
2753.00,98.56
2752.00,98.56
2751.00,98.56
2750.00,98.56
2749.00,98.56
2748.00,98.56
2747.00,98.56
2746.00,98.57
2745.00,98.57
2744.00,98.57
2743.00,98.57
2742.00,98.57
2741.00,98.58
2740.00,98.58
2739.00,98.58
2738.00,98.57
2737.00,98.57
2736.00,98.58
2735.00,98.58
2734.00,98.58
2733.00,98.58
2732.00,98.59
2731.00,98.59
2730.00,98.59
2729.00,98.59
2728.00,98.59
2727.00,98.59
2726.00,98.59
2725.00,98.59
2724.00,98.59
2723.00,98.59
2722.00,98.59
2721.00,98.59
2720.00,98.59
2719.00,98.59
2718.00,98.60
2717.00,98.60
