Created as New Dataset,PE powder (low density) GF 300um
cm-1,%T
2969.00,94.62
2968.00,94.29
2967.00,93.95
2966.00,93.60
2965.00,93.27
2964.00,92.94
2963.00,92.63
2962.00,92.34
2961.00,92.07
2960.00,91.84
2959.00,91.63
2958.00,91.45
2957.00,91.29
2956.00,91.17
2955.00,91.07
2954.00,90.98
2953.00,90.91
2952.00,90.81
2951.00,90.69
2950.00,90.52
2949.00,90.28
2948.00,89.95
2947.00,89.51
2946.00,88.97
2945.00,88.32
2944.00,87.56
2943.00,86.69
2942.00,85.73
2941.00,84.67
2940.00,83.52
2939.00,82.28
2938.00,80.96
2937.00,79.54
2936.00,78.04
2935.00,76.44
2934.00,74.75
2933.00,72.96
2932.00,71.06
2931.00,69.06
2930.00,66.94
2929.00,64.69
2928.00,62.31
2927.00,59.80
2926.00,57.16
2925.00,54.39
2924.00,51.53
2923.00,48.60
2922.00,45.66
2921.00,42.83
2920.00,40.22
2919.00,38.01
2918.00,36.37
2917.00,35.47
2916.00,35.41
2915.00,36.17
2914.00,37.66
2913.00,39.71
2912.00,42.11
2911.00,44.66
2910.00,47.21
2909.00,49.65
2908.00,51.91
2907.00,53.98
2906.00,55.84
2905.00,57.51
2904.00,59.01
2903.00,60.37
2902.00,61.60
2901.00,62.75
2900.00,63.83
2899.00,64.86
2898.00,65.85
2897.00,66.82
2896.00,67.79
2895.00,68.76
2894.00,69.74
2893.00,70.73
2892.00,71.73
2891.00,72.74
2890.00,73.75
2889.00,74.76
2888.00,75.76
2887.00,76.73
2886.00,77.66
2885.00,78.55
2884.00,79.40
2883.00,80.20
2882.00,80.95
2881.00,81.65
2880.00,82.30
2879.00,82.90
2878.00,83.42
2877.00,83.86
2876.00,84.20
2875.00,84.45
2874.00,84.63
2873.00,84.74
2872.00,84.81
2871.00,84.83
2870.00,84.81
2869.00,84.72
2868.00,84.54
2867.00,84.22
2866.00,83.73
2865.00,83.05
2864.00,82.14
2863.00,81.00
2862.00,79.59
2861.00,77.88
2860.00,75.85
2859.00,73.45
2858.00,70.65
2857.00,67.42
2856.00,63.73
2855.00,59.64
2854.00,55.28
2853.00,50.88
2852.00,46.81
2851.00,43.55
2850.00,41.55
2849.00,41.15
2848.00,42.41
2847.00,45.11
2846.00,48.85
2845.00,53.20
2844.00,57.75
2843.00,62.21
2842.00,66.38
2841.00,70.15
2840.00,73.48
2839.00,76.36
2838.00,78.83
2837.00,80.94
2836.00,82.75
2835.00,84.30
2834.00,85.63
2833.00,86.78
2832.00,87.78
2831.00,88.66
2830.00,89.43
2829.00,90.12
2828.00,90.73
2827.00,91.28
2826.00,91.77
2825.00,92.22
2824.00,92.62
