Created as New Dataset,EVA (ethylene vinyl acetate) GF
cm-1,%T
3013.00,96.88
3012.00,96.91
3011.00,96.93
3010.00,96.94
3009.00,96.94
3008.00,96.92
3007.00,96.90
3006.00,96.88
3005.00,96.85
3004.00,96.83
3003.00,96.81
3002.00,96.81
3001.00,96.82
3000.00,96.84
2999.00,96.88
2998.00,96.92
2997.00,96.96
2996.00,96.99
2995.00,97.01
2994.00,97.03
2993.00,97.03
2992.00,97.03
2991.00,97.02
2990.00,97.01
2989.00,96.99
2988.00,96.97
2987.00,96.94
2986.00,96.91
2985.00,96.89
2984.00,96.85
2983.00,96.82
2982.00,96.79
2981.00,96.75
2980.00,96.71
2979.00,96.67
2978.00,96.63
2977.00,96.58
2976.00,96.52
2975.00,96.46
2974.00,96.39
2973.00,96.32
2972.00,96.23
2971.00,96.14
2970.00,96.04
2969.00,95.94
2968.00,95.84
2967.00,95.74
2966.00,95.64
2965.00,95.54
2964.00,95.44
2963.00,95.34
2962.00,95.24
2961.00,95.14
2960.00,95.05
2959.00,94.96
2958.00,94.88
2957.00,94.80
2956.00,94.72
2955.00,94.65
2954.00,94.58
2953.00,94.52
2952.00,94.46
2951.00,94.40
2950.00,94.32
2949.00,94.24
2948.00,94.15
2947.00,94.04
2946.00,93.93
2945.00,93.79
2944.00,93.64
2943.00,93.47
2942.00,93.28
2941.00,93.08
2940.00,92.85
2939.00,92.61
2938.00,92.36
2937.00,92.08
2936.00,91.80
2935.00,91.50
2934.00,91.19
2933.00,90.88
2932.00,90.56
2931.00,90.24
2930.00,89.93
2929.00,89.62
2928.00,89.32
2927.00,89.03
2926.00,88.75
2925.00,88.49
2924.00,88.25
2923.00,88.05
2922.00,87.89
2921.00,87.80
2920.00,87.78
2919.00,87.86
2918.00,88.02
2917.00,88.26
2916.00,88.56
2915.00,88.90
2914.00,89.24
2913.00,89.57
2912.00,89.89
2911.00,90.17
2910.00,90.43
2909.00,90.68
2908.00,90.90
2907.00,91.11
2906.00,91.31
2905.00,91.49
2904.00,91.66
2903.00,91.82
2902.00,91.98
2901.00,92.13
2900.00,92.28
2899.00,92.42
2898.00,92.56
2897.00,92.69
2896.00,92.82
2895.00,92.94
2894.00,93.06
2893.00,93.17
2892.00,93.27
2891.00,93.37
2890.00,93.47
2889.00,93.57
2888.00,93.66
2887.00,93.75
2886.00,93.84
2885.00,93.92
2884.00,94.00
2883.00,94.08
2882.00,94.14
2881.00,94.21
2880.00,94.26
2879.00,94.30
2878.00,94.34
2877.00,94.36
2876.00,94.37
2875.00,94.37
2874.00,94.36
2873.00,94.34
2872.00,94.32
2871.00,94.29
2870.00,94.26
2869.00,94.23
2868.00,94.20
2867.00,94.16
2866.00,94.10
2865.00,94.03
2864.00,93.95
2863.00,93.84
2862.00,93.71
2861.00,93.55
2860.00,93.35
2859.00,93.13
2858.00,92.88
2857.00,92.60
2856.00,92.29
2855.00,91.98
2854.00,91.68
2853.00,91.41
2852.00,91.22
2851.00,91.15
2850.00,91.22
2849.00,91.44
2848.00,91.75
2847.00,92.13
2846.00,92.51
2845.00,92.88
2844.00,93.22
2843.00,93.54
2842.00,93.83
2841.00,94.09
2840.00,94.33
2839.00,94.55
2838.00,94.75
2837.00,94.93
2836.00,95.08
2835.00,95.22
2834.00,95.34
2833.00,95.45
2832.00,95.55
2831.00,95.64
2830.00,95.72
2829.00,95.80
2828.00,95.87
2827.00,95.93
2826.00,96.00
2825.00,96.05
2824.00,96.11
2823.00,96.16
2822.00,96.21
2821.00,96.26
2820.00,96.31
2819.00,96.35
2818.00,96.40
2817.00,96.43
2816.00,96.47
2815.00,96.50
2814.00,96.53
2813.00,96.56
2812.00,96.59
2811.00,96.61
2810.00,96.64
2809.00,96.67
2808.00,96.69
2807.00,96.71
2806.00,96.74
2805.00,96.76
2804.00,96.78
2803.00,96.80
2802.00,96.82
2801.00,96.83
2800.00,96.85
2799.00,96.86
2798.00,96.88
2797.00,96.89
2796.00,96.91
2795.00,96.92
2794.00,96.93
2793.00,96.95
2792.00,96.96
2791.00,96.98
2790.00,96.99
2789.00,97.00
2788.00,97.01
2787.00,97.02
2786.00,97.02
2785.00,97.03
2784.00,97.04
2783.00,97.05
2782.00,97.06
2781.00,97.07
2780.00,97.07
2779.00,97.08
2778.00,97.09
2777.00,97.09
2776.00,97.10
2775.00,97.11
2774.00,97.11
2773.00,97.12
2772.00,97.13
2771.00,97.14
2770.00,97.14
2769.00,97.15
2768.00,97.15
2767.00,97.16
2766.00,97.16
2765.00,97.17
2764.00,97.17
2763.00,97.18
2762.00,97.19
2761.00,97.19
2760.00,97.20
2759.00,97.20
2758.00,97.21
2757.00,97.21
2756.00,97.21
2755.00,97.22
2754.00,97.22
2753.00,97.22
2752.00,97.22
2751.00,97.23
2750.00,97.23
2749.00,97.23
2748.00,97.24
2747.00,97.24
2746.00,97.25
2745.00,97.25
2744.00,97.25
2743.00,97.25
2742.00,97.25
2741.00,97.26
2740.00,97.26
2739.00,97.26
2738.00,97.27
2737.00,97.27
2736.00,97.27
2735.00,97.28
2734.00,97.28
2733.00,97.28
2732.00,97.29
2731.00,97.29
2730.00,97.29
2729.00,97.30
2728.00,97.30
2727.00,97.31
2726.00,97.31
2725.00,97.31
2724.00,97.31
2723.00,97.31
2722.00,97.31
2721.00,97.31
2720.00,97.32
2719.00,97.32
2718.00,97.32
2717.00,97.32
2716.00,97.33
2715.00,97.33
2714.00,97.33
2713.00,97.34
2712.00,97.34
2711.00,97.34
2710.00,97.34
2709.00,97.34
2708.00,97.34
2707.00,97.34
2706.00,97.34
2705.00,97.34
2704.00,97.34
2703.00,97.34
2702.00,97.35
2701.00,97.35
2700.00,97.35
2699.00,97.36
2698.00,97.36
2697.00,97.36
2696.00,97.36
2695.00,97.37
2694.00,97.37
2693.00,97.37
2692.00,97.37
2691.00,97.37
2690.00,97.37
2689.00,97.37
2688.00,97.37
2687.00,97.37
2686.00,97.37
2685.00,97.37
2684.00,97.37
2683.00,97.38
2682.00,97.38
2681.00,97.38
2680.00,97.38
2679.00,97.38
2678.00,97.38
2677.00,97.38
2676.00,97.38
2675.00,97.38
2674.00,97.38
2673.00,97.38
2672.00,97.38
2671.00,97.38
2670.00,97.38
2669.00,97.38
2668.00,97.39
2667.00,97.39
2666.00,97.39
2665.00,97.39
2664.00,97.38
2663.00,97.37
2662.00,97.37
2661.00,97.36
2660.00,97.36
2659.00,97.36
2658.00,97.36
2657.00,97.36
2656.00,97.35
2655.00,97.35
2654.00,97.35
2653.00,97.34
2652.00,97.34
2651.00,97.34
2650.00,97.34
2649.00,97.34
2648.00,97.34
2647.00,97.33
2646.00,97.33
2645.00,97.33
2644.00,97.33
2643.00,97.33
2642.00,97.33
2641.00,97.33
2640.00,97.33
2639.00,97.32
2638.00,97.32
2637.00,97.32
2636.00,97.32
2635.00,97.31
2634.00,97.31
2633.00,97.31
2632.00,97.32
2631.00,97.32
2630.00,97.32
2629.00,97.32
2628.00,97.32
2627.00,97.33
2626.00,97.33
2625.00,97.33
2624.00,97.34
2623.00,97.34
2622.00,97.34
2621.00,97.35
2620.00,97.35
2619.00,97.35
2618.00,97.35
2617.00,97.36
2616.00,97.36
2615.00,97.36
2614.00,97.35
2613.00,97.35
2612.00,97.35
2611.00,97.35
2610.00,97.35
2609.00,97.35
2608.00,97.34
2607.00,97.34
2606.00,97.34
2605.00,97.34
2604.00,97.34
2603.00,97.34
2602.00,97.34
2601.00,97.35
2600.00,97.35
2599.00,97.35
2598.00,97.35
2597.00,97.35
2596.00,97.35
2595.00,97.35
2594.00,97.35
2593.00,97.35
2592.00,97.36
2591.00,97.36
2590.00,97.37
2589.00,97.37
2588.00,97.37
2587.00,97.37
2586.00,97.37
2585.00,97.37
2584.00,97.37
2583.00,97.37
2582.00,97.38
2581.00,97.38
2580.00,97.38
2579.00,97.39
2578.00,97.39
2577.00,97.40
2576.00,97.40
2575.00,97.40
2574.00,97.41
2573.00,97.41
2572.00,97.41
2571.00,97.40
2570.00,97.40
2569.00,97.40
2568.00,97.40
2567.00,97.40
2566.00,97.41
2565.00,97.41
2564.00,97.41
2563.00,97.41
2562.00,97.41
2561.00,97.41
2560.00,97.41
2559.00,97.42
2558.00,97.42
2557.00,97.42
2556.00,97.42
2555.00,97.42
2554.00,97.42
2553.00,97.41
2552.00,97.41
2551.00,97.41
2550.00,97.42
2549.00,97.42
2548.00,97.43
2547.00,97.43
2546.00,97.43
2545.00,97.44
2544.00,97.44
2543.00,97.44
2542.00,97.44
2541.00,97.44
2540.00,97.44
2539.00,97.44
2538.00,97.44
2537.00,97.44
2536.00,97.45
2535.00,97.45
2534.00,97.45
2533.00,97.45
2532.00,97.45
2531.00,97.45
2530.00,97.45
2529.00,97.45
2528.00,97.45
2527.00,97.45
2526.00,97.45
2525.00,97.45
2524.00,97.45
2523.00,97.46
2522.00,97.46
2521.00,97.47
2520.00,97.47
2519.00,97.47
2518.00,97.47
2517.00,97.47
2516.00,97.46
2515.00,97.46
2514.00,97.46
2513.00,97.46
2512.00,97.46
2511.00,97.46
2510.00,97.46
2509.00,97.46
2508.00,97.46
2507.00,97.46
2506.00,97.46
2505.00,97.47
2504.00,97.47
2503.00,97.48
2502.00,97.47
2501.00,97.47
2500.00,97.47
2499.00,97.47
2498.00,97.47
2497.00,97.47
2496.00,97.47
2495.00,97.47
2494.00,97.47
2493.00,97.47
2492.00,97.47
2491.00,97.48
2490.00,97.48
2489.00,97.48
2488.00,97.48
2487.00,97.48
2486.00,97.48
2485.00,97.49
2484.00,97.49
2483.00,97.49
2482.00,97.49
2481.00,97.50
2480.00,97.50
2479.00,97.50
2478.00,97.50
2477.00,97.51
2476.00,97.51
2475.00,97.51
2474.00,97.51
2473.00,97.51
2472.00,97.51
2471.00,97.51
2470.00,97.52
