Created as New Dataset,PE (high density) granule GF
cm-1,%T
3410.00,99.70
3409.00,99.70
3408.00,99.69
3407.00,99.69
3406.00,99.68
3405.00,99.68
3404.00,99.68
3403.00,99.67
3402.00,99.67
3401.00,99.66
3400.00,99.66
3399.00,99.66
3398.00,99.65
3397.00,99.65
3396.00,99.65
3395.00,99.64
3394.00,99.64
3393.00,99.64
3392.00,99.64
3391.00,99.64
3390.00,99.65
3389.00,99.66
3388.00,99.66
3387.00,99.66
3386.00,99.67
3385.00,99.67
3384.00,99.67
3383.00,99.67
3382.00,99.67
3381.00,99.67
3380.00,99.67
3379.00,99.67
3378.00,99.67
3377.00,99.68
3376.00,99.68
3375.00,99.68
3374.00,99.68
3373.00,99.68
3372.00,99.69
3371.00,99.69
3370.00,99.69
3369.00,99.70
3368.00,99.70
3367.00,99.70
3366.00,99.69
3365.00,99.69
3364.00,99.70
3363.00,99.70
3362.00,99.70
3361.00,99.70
3360.00,99.70
3359.00,99.71
3358.00,99.71
3357.00,99.71
3356.00,99.71
3355.00,99.72
3354.00,99.72
3353.00,99.72
3352.00,99.73
3351.00,99.73
3350.00,99.72
3349.00,99.72
3348.00,99.72
3347.00,99.73
3346.00,99.73
3345.00,99.73
3344.00,99.73
3343.00,99.73
3342.00,99.73
3341.00,99.73
3340.00,99.72
3339.00,99.72
3338.00,99.73
3337.00,99.73
3336.00,99.73
3335.00,99.73
3334.00,99.73
3333.00,99.74
3332.00,99.74
3331.00,99.74
3330.00,99.75
3329.00,99.75
3328.00,99.75
3327.00,99.75
3326.00,99.74
3325.00,99.74
3324.00,99.74
3323.00,99.74
3322.00,99.74
3321.00,99.74
3320.00,99.74
3319.00,99.75
3318.00,99.75
3317.00,99.75
3316.00,99.74
3315.00,99.74
3314.00,99.74
3313.00,99.74
3312.00,99.74
3311.00,99.74
3310.00,99.75
3309.00,99.75
3308.00,99.75
3307.00,99.75
3306.00,99.75
3305.00,99.75
3304.00,99.75
3303.00,99.75
3302.00,99.75
3301.00,99.75
3300.00,99.76
3299.00,99.76
3298.00,99.76
3297.00,99.76
3296.00,99.76
3295.00,99.76
3294.00,99.76
3293.00,99.76
3292.00,99.76
3291.00,99.76
3290.00,99.76
3289.00,99.76
3288.00,99.76
3287.00,99.76
3286.00,99.76
3285.00,99.75
3284.00,99.75
3283.00,99.76
3282.00,99.76
3281.00,99.77
3280.00,99.77
3279.00,99.78
3278.00,99.78
3277.00,99.77
3276.00,99.77
3275.00,99.77
3274.00,99.76
3273.00,99.76
3272.00,99.77
3271.00,99.77
3270.00,99.77
3269.00,99.77
3268.00,99.77
3267.00,99.77
3266.00,99.76
3265.00,99.76
3264.00,99.76
3263.00,99.76
3262.00,99.76
3261.00,99.76
3260.00,99.76
3259.00,99.76
3258.00,99.76
3257.00,99.76
3256.00,99.76
3255.00,99.76
3254.00,99.76
3253.00,99.76
3252.00,99.76
3251.00,99.76
3250.00,99.76
3249.00,99.76
3248.00,99.77
3247.00,99.77
3246.00,99.77
3245.00,99.77
3244.00,99.77
3243.00,99.77
3242.00,99.77
3241.00,99.77
3240.00,99.77
3239.00,99.76
3238.00,99.76
3237.00,99.76
3236.00,99.77
3235.00,99.77
3234.00,99.77
3233.00,99.77
3232.00,99.77
3231.00,99.77
3230.00,99.77
3229.00,99.77
3228.00,99.77
3227.00,99.77
3226.00,99.76
3225.00,99.76
3224.00,99.76
3223.00,99.76
3222.00,99.76
3221.00,99.76
3220.00,99.75
3219.00,99.76
3218.00,99.76
3217.00,99.76
3216.00,99.76
3215.00,99.76
3214.00,99.76
3213.00,99.75
3212.00,99.75
3211.00,99.75
3210.00,99.75
3209.00,99.75
3208.00,99.75
3207.00,99.75
3206.00,99.75
3205.00,99.75
3204.00,99.75
3203.00,99.75
3202.00,99.75
3201.00,99.75
3200.00,99.75
3199.00,99.75
3198.00,99.74
3197.00,99.74
3196.00,99.74
3195.00,99.74
3194.00,99.74
3193.00,99.74
3192.00,99.73
3191.00,99.73
3190.00,99.73
3189.00,99.73
3188.00,99.73
3187.00,99.73
3186.00,99.73
3185.00,99.73
3184.00,99.73
3183.00,99.73
3182.00,99.74
3181.00,99.75
3180.00,99.75
3179.00,99.76
3178.00,99.76
3177.00,99.76
3176.00,99.76
3175.00,99.76
3174.00,99.76
3173.00,99.76
3172.00,99.76
3171.00,99.76
3170.00,99.76
3169.00,99.76
3168.00,99.76
3167.00,99.76
3166.00,99.75
3165.00,99.75
3164.00,99.75
3163.00,99.75
3162.00,99.76
3161.00,99.76
3160.00,99.76
3159.00,99.76
3158.00,99.76
3157.00,99.76
3156.00,99.76
3155.00,99.76
3154.00,99.76
3153.00,99.76
3152.00,99.77
3151.00,99.77
3150.00,99.77
3149.00,99.77
3148.00,99.77
3147.00,99.77
3146.00,99.76
3145.00,99.76
3144.00,99.76
3143.00,99.76
