Created as New Dataset,PET amorphous
cm-1,%T
2589.00,96.36
2588.00,96.35
2587.00,96.35
2586.00,96.35
2585.00,96.35
2584.00,96.35
2583.00,96.35
2582.00,96.35
2581.00,96.34
2580.00,96.34
2579.00,96.35
2578.00,96.35
2577.00,96.35
2576.00,96.35
2575.00,96.35
2574.00,96.35
2573.00,96.35
2572.00,96.35
2571.00,96.35
2570.00,96.35
2569.00,96.35
2568.00,96.35
2567.00,96.35
2566.00,96.35
2565.00,96.35
2564.00,96.34
2563.00,96.34
2562.00,96.34
2561.00,96.34
2560.00,96.34
2559.00,96.35
2558.00,96.35
2557.00,96.35
2556.00,96.35
2555.00,96.35
2554.00,96.35
2553.00,96.34
2552.00,96.34
2551.00,96.34
2550.00,96.34
2549.00,96.34
2548.00,96.35
2547.00,96.35
2546.00,96.36
2545.00,96.36
2544.00,96.36
2543.00,96.36
2542.00,96.36
2541.00,96.36
2540.00,96.35
2539.00,96.35
2538.00,96.35
2537.00,96.34
2536.00,96.34
2535.00,96.35
2534.00,96.35
2533.00,96.35
2532.00,96.35
2531.00,96.36
2530.00,96.36
2529.00,96.37
2528.00,96.37
2527.00,96.37
2526.00,96.37
2525.00,96.37
2524.00,96.38
2523.00,96.37
2522.00,96.37
2521.00,96.37
2520.00,96.37
2519.00,96.37
2518.00,96.38
2517.00,96.39
2516.00,96.39
2515.00,96.39
2514.00,96.40
2513.00,96.40
2512.00,96.40
2511.00,96.41
2510.00,96.41
2509.00,96.41
2508.00,96.42
2507.00,96.42
2506.00,96.43
2505.00,96.43
2504.00,96.43
2503.00,96.43
2502.00,96.43
2501.00,96.43
2500.00,96.43
2499.00,96.44
2498.00,96.45
2497.00,96.45
2496.00,96.45
2495.00,96.45
2494.00,96.45
2493.00,96.45
2492.00,96.46
2491.00,96.46
2490.00,96.47
2489.00,96.48
2488.00,96.48
2487.00,96.48
2486.00,96.49
2485.00,96.49
2484.00,96.50
2483.00,96.51
2482.00,96.52
2481.00,96.52
2480.00,96.52
2479.00,96.52
2478.00,96.51
2477.00,96.52
2476.00,96.52
2475.00,96.52
2474.00,96.53
2473.00,96.53
2472.00,96.53
2471.00,96.54
2470.00,96.54
2469.00,96.54
2468.00,96.54
2467.00,96.54
2466.00,96.54
2465.00,96.54
2464.00,96.54
2463.00,96.53
2462.00,96.54
